steps,(All),,,
,,,,
Sum of steps,Column Labels,,,
Row Labels,Policy Iteration,Q Learning Optimal,Value Iteration,Grand Total
807,,69.81,,69.81
808,,71.38,,71.38
809,,67.95,,67.95
810,,72.94,,72.94
811,,68.5,,68.5
812,,69.6,,69.6
813,,70.26,,70.26
814,,72.5,,72.5
815,,75.65,,75.65
816,,69.41,,69.41
817,,74.38,,74.38
818,,73.62,,73.62
819,,68.73,,68.73
820,,73.36,,73.36
821,,68.26,,68.26
822,,72.25,,72.25
823,,71.91,,71.91
824,,71.12,,71.12
825,,69.67,,69.67
826,,73.82,,73.82
827,,70.01,,70.01
828,,70.49,,70.49
829,,71.22,,71.22
830,,71.56,,71.56
831,,73.54,,73.54
832,,74.32,,74.32
833,,69.04,,69.04
834,,67.94,,67.94
835,,72.14,,72.14
836,,68.75,,68.75
837,,73.39,,73.39
838,,76.39,,76.39
839,,70.65,,70.65
840,,72.51,,72.51
841,,70.59,,70.59
842,,69.13,,69.13
843,,69.8,,69.8
844,,71.83,,71.83
845,,71.43,,71.43
846,,74.08,,74.08
847,,71.54,,71.54
848,,72.09,,72.09
849,,72.39,,72.39
850,,67.72,,67.72
851,,72.22,,72.22
852,,69.85,,69.85
853,,68.3,,68.3
854,,70.42,,70.42
855,,105.52,,105.52
856,,85.33,,85.33
857,,78.35,,78.35
858,,70.73,,70.73
859,,72.97,,72.97
860,,70.26,,70.26
861,,69.07,,69.07
862,,70.58,,70.58
863,,72.22,,72.22
864,,69.79,,69.79
865,,72.05,,72.05
866,,76.73,,76.73
867,,69.11,,69.11
868,,74.83,,74.83
869,,69.41,,69.41
870,,69.55,,69.55
871,,75.38,,75.38
872,,71.31,,71.31
873,,69.64,,69.64
874,,70.84,,70.84
875,,67.89,,67.89
876,,73.69,,73.69
877,,70.19,,70.19
878,,70.47,,70.47
879,,75.3,,75.3
880,,69,,69
881,,71.4,,71.4
882,,70.68,,70.68
883,,70.79,,70.79
884,,73.79,,73.79
885,,68.58,,68.58
886,,71.34,,71.34
887,,69.83,,69.83
888,,75.02,,75.02
889,,70.75,,70.75
890,,70.17,,70.17
891,,69.54,,69.54
892,,73.24,,73.24
893,,75.35,,75.35
894,,72.41,,72.41
895,,75.04,,75.04
896,,70.56,,70.56
897,,73.33,,73.33
898,,68.91,,68.91
899,,73.48,,73.48
900,,71.56,,71.56
901,,76.49,,76.49
902,,71.48,,71.48
903,,91.67,,91.67
904,,84.96,,84.96
905,,71.44,,71.44
906,,72.13,,72.13
907,,71.88,,71.88
908,,68.37,,68.37
909,,73.58,,73.58
910,,104.73,,104.73
911,,107.07,,107.07
912,,114.33,,114.33
913,,103.32,,103.32
914,,68.84,,68.84
915,,76.73,,76.73
916,,73.71,,73.71
917,,68.88,,68.88
918,,74.23,,74.23
919,,68.78,,68.78
920,,72.06,,72.06
921,,69.91,,69.91
922,,71.5,,71.5
923,,73.02,,73.02
924,,70.94,,70.94
925,,71.89,,71.89
926,,70.8,,70.8
927,,69.56,,69.56
928,,69.11,,69.11
929,,68.98,,68.98
930,,73.1,,73.1
931,,68.6,,68.6
932,,68.9,,68.9
933,,69.68,,69.68
934,,71.85,,71.85
935,,71.34,,71.34
936,,69.63,,69.63
937,,72.74,,72.74
938,,69.25,,69.25
939,,69.71,,69.71
940,,70.52,,70.52
941,,68.63,,68.63
942,,68.19,,68.19
943,,68.11,,68.11
944,,74.48,,74.48
945,,75.07,,75.07
946,,70.49,,70.49
947,,74.05,,74.05
948,,70.39,,70.39
949,,69.92,,69.92
950,,70.39,,70.39
951,,70.73,,70.73
952,,71.53,,71.53
953,,70.16,,70.16
954,,71.6,,71.6
955,,69.18,,69.18
956,,72.91,,72.91
957,,67.1,,67.1
958,,75.7,,75.7
959,,71.14,,71.14
960,,70.65,,70.65
961,,74.11,,74.11
962,,73.49,,73.49
963,,72.75,,72.75
964,,71.64,,71.64
965,,69.7,,69.7
966,,73.17,,73.17
967,,70.35,,70.35
968,,70.52,,70.52
969,,81.48,,81.48
970,,86.52,,86.52
971,,70.45,,70.45
972,,70.13,,70.13
973,,72.26,,72.26
974,,69.78,,69.78
975,,73.28,,73.28
976,,87.06,,87.06
977,,73.01,,73.01
978,,70.92,,70.92
979,,70.78,,70.78
980,,70,,70
981,,69.74,,69.74
982,,73.7,,73.7
983,,69.18,,69.18
984,,68.46,,68.46
985,,73.43,,73.43
986,,72.91,,72.91
987,,75.38,,75.38
988,,73.81,,73.81
989,,72.24,,72.24
990,,70.89,,70.89
991,,73.65,,73.65
992,,68.74,,68.74
993,,68.99,,68.99
994,,70.49,,70.49
995,,70.21,,70.21
996,,68.02,,68.02
997,,70.87,,70.87
998,,69.14,,69.14
999,,70.34,,70.34
1000,,69.87,,69.87
1001,,67.82,,67.82
1002,,75.04,,75.04
1003,,70.29,,70.29
1004,,71.47,,71.47
1005,,69.75,,69.75
1006,,70.75,,70.75
1007,,70.31,,70.31
1008,,74.63,,74.63
1009,,70.97,,70.97
1010,,72.28,,72.28
1011,,79.1,,79.1
1012,,86.18,,86.18
1013,,83.41,,83.41
1014,,80.39,,80.39
1015,,79.67,,79.67
1016,,84.01,,84.01
1017,,87,,87
1018,,103.25,,103.25
1019,,100.45,,100.45
1020,,70.64,,70.64
1021,,257.18,,257.18
1022,,107.79,,107.79
1023,,111.69,,111.69
1024,,72,,72
1025,,73.81,,73.81
1026,,72.99,,72.99
1027,,69,,69
1028,,77.61,,77.61
1029,,86.94,,86.94
1030,,107.52,,107.52
1031,,71.46,,71.46
1032,,90.88,,90.88
1033,,191.12,,191.12
1034,,89.47,,89.47
1035,,105.32,,105.32
1036,,70.39,,70.39
1037,,87.38,,87.38
1038,,70.4,,70.4
1039,,71.93,,71.93
1040,,71.03,,71.03
1041,,73.75,,73.75
1042,,67.5,,67.5
1043,,67.06,,67.06
1044,,70.44,,70.44
1045,,69.33,,69.33
1046,,69.69,,69.69
1047,,69.27,,69.27
1048,,72.83,,72.83
1049,,71.66,,71.66
1050,,88.65,,88.65
1051,,70.13,,70.13
1052,,91.87,,91.87
1053,,107.37,,107.37
1054,,92.27,,92.27
1055,,73.55,,73.55
1056,,75.26,,75.26
1057,,68.87,,68.87
1058,,105.89,,105.89
1059,,286.61,,286.61
1060,,298.37,,298.37
1061,,242.45,,242.45
1062,,261.46,,261.46
1063,,275.79,,275.79
1064,,300,,300
1065,,293.75,,293.75
1066,,272.68,,272.68
1067,,299.36,,299.36
1068,,299.11,,299.11
1069,,298.02,,298.02
1070,,275.12,,275.12
1071,,281.87,,281.87
1072,,245.48,,245.48
1073,,290.05,,290.05
1074,,289,,289
1075,,300,,300
1076,,281.87,,281.87
1077,,300,,300
1078,,277.36,,277.36
1079,,297.75,,297.75
1080,,272.71,,272.71
1081,,295.69,,295.69
1082,,162.5,,162.5
1083,,264.79,,264.79
1084,,287.5,,287.5
1085,,197.36,,197.36
1086,,294.04,,294.04
1087,,289.96,,289.96
1088,,256.98,,256.98
1089,,131.67,,131.67
1090,,134.85,,134.85
1091,,115.36,,115.36
1092,,106.42,,106.42
1093,,86.25,,86.25
1094,,92.33,,92.33
1095,,87.76,,87.76
1096,,88.58,,88.58
1097,,84.55,,84.55
1098,,68.92,,68.92
1099,,67.7,,67.7
1100,,116.42,,116.42
1101,,102.67,,102.67
1102,,88.85,,88.85
1103,,87.29,,87.29
1104,,73.12,,73.12
1105,,75,,75
1106,,69.47,,69.47
1107,,69.67,,69.67
1108,,68.73,,68.73
1109,,71.12,,71.12
1110,,70.06,,70.06
1111,,73.28,,73.28
1112,,69.88,,69.88
1113,,75.77,,75.77
1114,,72.13,,72.13
1115,,69.28,,69.28
1116,,68.43,,68.43
1117,,68.87,,68.87
1118,,73.72,,73.72
1119,,68.79,,68.79
1120,,87.05,,87.05
1121,,98.73,,98.73
1122,,101.78,,101.78
1123,,81.12,,81.12
1124,,86.08,,86.08
1125,,90.24,,90.24
1126,,73.78,,73.78
1127,,71.14,,71.14
1128,,71.23,,71.23
1129,,70.08,,70.08
1130,,70.88,,70.88
1131,,73.8,,73.8
1132,,84.8,,84.8
1133,,68.84,,68.84
1134,,73.76,,73.76
1135,,76.8,,76.8
1136,,96.23,,96.23
1137,,101.55,,101.55
